Public toilet,Hospital,Park,Shopping mall,Hotel,Restaurant,Petrol Station,Mosque,Others,Name of the Place,Latitude, Longitude,Location,Separate female washroom,Handicapped washroom facility,Kids Feeding corner ,Separate female prayer room,kids and women refreshing area,Others
,,,,,,,Yes ,,Gazir Darah Mosque.Jhikorgacha.Jashore,23.120466170626706, 89.12879333993247,https://maps.app.goo.gl/3fe59bXb8qMbwt8k6,Yes ,,,,,
,,,,,,Yes,,,Dorgah filling station .Sadar.Jashore,23.121913177988823, 89.13068182883565,https://maps.app.goo.gl/323qb8H5FaggrZVm9,Yes ,,,,,
,,,,,,,Yes ,,Natun hut bazar jame mosque Jashore ,23.126699804166396, 89.14071138932147,https://maps.app.goo.gl/kRoYk9yH56qTuzJcA,,,,,,
,,,,,,Yes ,,,Gulf Lubricants.Jashore ,23.046994239176453, 88.82802304329378,https://maps.app.goo.gl/RGGY71H55c3pGjBeA,,,,,,
,,,,,,Yes,,,Malonchi bazar gas filling station .jashore ,23.06644716219755, 88.92545070695455,https://maps.app.goo.gl/XGirDKKeAY4i7dQ46,Yes ,,,,,
,,,,,,,Yes ,,Central Jame mosque.Pulerhat,23.17291592222442, 89.18920780845866,https://maps.app.goo.gl/pTedhjrbmK9UZAt29,,,,,,
,,,,,,Yes ,,,New Akij petrolium.Chachra pulerhat,23.144046901904666, 89.19249948465743,https://maps.app.goo.gl/r3aZD2vHNGYakfew6,Yes ,,,,,
,,,,,,Yes ,,,BADC Mosque .Chachra,Jashore ,23.146264418307133, 89.19548362280597,https://maps.app.goo.gl/M5vHLvNPrBEbtisy6,Yes ,,,Yes ,,
Yes ,,,,,,,,,Chachra checkpost.Jashore ,23.14418082878235, 89.19601163644265,https://maps.app.goo.gl/ngV1cWcYjLgov7uz9,Yes ,,,,,
,,,,,,Yes ,,,Loujani bazar jame mosque.Jhikorgacha ,23.11847646676873, 89.12276013589589,https://maps.app.goo.gl/bEcsWYTaNfSZo51P8,,,,,,
,,,,,,Yes ,,,Mollikpur jame mosque .Jhikorgacha ,23.115229164038826, 89.12360112576413,https://maps.app.goo.gl/83FU6XoAx6sbFQx18,,,,,,
,,,,,,Yes ,,,Mollikpur gussogram jame mosque .Jhikorgacha ,23.113239074017176, 89.12100505043466,https://maps.app.goo.gl/1jZGrkkojUumArVt8,,,,,,
,,,,,,Yes ,,,Kritipur jame masjid.Jhikorgacha ,23.1095724640212, 89.110319438083,https://maps.app.goo.gl/Ujq1B473eifCCe5i8,,,,,,
,Yes ,,,,,,,,Alimon Nessa diabetics hospital.Jhilkorgacha,23.107355942850713, 89.10778723732707,https://maps.app.goo.gl/CAVoh9sRsBq7RoWn6,Yes ,,,,,
,,,,,,,,Yes ,Jhikorgacha darululum kamil madrasha ,23.10414643714071, 89.10476772089099,https://maps.app.goo.gl/6jtT7Lj29etBYLwm6,Yes ,,,,,
,,,,,,,Yes ,,B.M high school mosque .Jhikorgacha ,23.104377828578478, 89.10558314102602,https://maps.app.goo.gl/ipYirRWq7ojokWKn9,,,,,,
,,,,,,,,Yes ,Raju market bus counter.Jhikorgacha ,23.101883281134473, 89.10054725451911,https://maps.app.goo.gl/dvjpAKaLfDF6y1WF7,,,,,,
